frame,anger,disgust,fear,happiness,sadness,surprise
1,2e-5,0.004259,4.4999999999999996e-5,1.8e-5,2.4e-4,0.001933
2,1.8995717219880268e-5,0.004247533987277173,4.4098675051173736e-5,1.8012512269110797e-5,2.4001351511822926e-4,0.001985903696290556
3,1.8982228341905946e-5,0.0042533892123918764,4.956852564699635e-5,1.7954353099758814e-5,2.3749733558663948e-4,0.002068755615449718
4,1.4227430373380379e-5,0.004317904700512443,8.235101909961344e-6,1.497318743705469e-5,1.990172020155137e-4,0.0029591971848451464
5,1.2993685028784827e-5,0.004617504140373924,2.300148803920014e-4,9.367882532169494e-6,8.332243710772386e-5,0.009222346944695037
6,2.2523760694960863e-5,0.005387431548278782,6.919710643914232e-4,8.551627694179132e-6,1.349585447220341e-5,0.04148135067563954
7,9.316356843281761e-6,0.006653071423408475,1.6244205229617049e-6,9.07139167359305e-6,3.07398260708429e-5,0.0767747213031432
8,1.1615038021575234e-5,0.008483655229640147,1.1832738456659922e-5,1.3335895371212592e-5,4.1905987870701277e-5,0.08355518724156519
9,1.3143252646141051e-5,0.012090854832840173,0,1.40873733382848e-5,1.8305045014547382e-5,0.20626604437791246
10,2.828664479595074e-5,0.01429950024465605,1.7006087640997975e-6,2.1450977650330032e-5,1.9763741006500867e-5,0.19347997659807614
11,3.348813031177544e-5,0.01749376869779238,6.990784028407943e-7,2.5012346735160102e-5,1.7603986012379347e-5,0.21142107279531147
12,6.973703250825016e-5,0.023626314624450345,1.858085333713113e-6,3.804473549424391e-5,1.2986870788515833e-5,0.21326315825645265
13,3.4735113795343854e-5,0.02761084833829131,1.5997384648891698e-6,2.547498898373225e-5,9.779473138330146e-6,0.4062542698018169
14,7.4723479376052315e-6,0.03397031639091527,5.932203443695118e-6,1.2736900917515616e-5,3.705794498219945e-6,0.7253410040392873
15,9.664471547219589e-6,0.04438761306073338,1.745229498025398e-5,1.4310236884968211e-5,2.082201370702642e-6,0.7937498863891249
16,4.217870006847438e-6,0.05160939319211945,6.890293828387486e-5,9.221804104505453e-6,1.064322901408322e-6,0.8876082651985362
17,5.8991279747076325e-6,0.06467718411228303,1.0292117369334816e-4,1.187936881112747e-5,9.959768918906371e-7,0.8733246547470689
18,6.92551597184856e-6,0.08199198920356256,6.909160436701426e-5,1.2940625185166746e-5,1.0041149905336926e-6,0.8705220813434708
19,5.350449933832271e-6,0.0995071906632439,7.073209641836145e-4,1.1096182545986621e-5,9.347689392726335e-7,0.9225954133976144
20,1.1113569668279524e-5,0.11122302592082328,0.005293858134537547,1.2782257402241015e-5,0,0.9209678012669652
21,7.5997929113787735e-6,0.12919402983257305,0.005879807551746483,9.921241232114876e-6,2.410356304125701e-8,0.9520066362248422
22,7.984131614199748e-6,0.14782599863791665,0.005736716466445753,1.0800264430230582e-5,0,0.9498390186177117
23,6.382201771653075e-6,0.1522451113741811,0.00439095319289474,8.32731124424872e-6,2.059355006678079e-9,0.9615069026583929
24,6.788396208251842e-6,0.15401966345068344,0.004271288502392391,8.448308228247568e-6,0,0.96024300918926
25,7.687803567138919e-6,0.20587049254416495,0.003964638281176766,8.569966566169537e-6,1.4559980731017949e-10,0.9590558722852497
26,7.358847038317096e-6,0.33514847047385865,0.0035551257946456376,8.403648812809406e-6,0,0.9639140001962339
27,8.139453266542085e-6,0.43921042344853056,0.003719027689429734,9.069613660659427e-6,8.929163189973162e-12,0.9616630744694176
28,8.183043106975073e-6,0.46946646003834347,0.0037856431771611052,9.42122310127548e-6,0,0.9610088007830808
29,1.2039468309004107e-5,0.45186429053611005,0.004546479127486201,1.1507533030881384e-5,4.692992302828116e-13,0.94626556642914
30,1.3429709097625639e-5,0.465739602666043,0.0046202347000344,1.258924183135207e-5,0,0.9421318329379152
31,1.9053567397130808e-05,0.501396489726276,0.005601460561916378,1.5592210515130904e-5,1.9432837856922867e-14,0.9210444831072134
