frame,anger,disgust,fear,happiness,sadness,surprise
1,2e-5,0.00426,4.7000000000000004e-5,1.8e-5,2.39e-4,0.001976
2,2.12243696942665e-5,0.004266299849511713,5.870070139211366e-5,1.8e-5,2.190078814614779e-4,0.002041990153359107
3,2.4195212683764082e-5,0.004262849479571873,8.681642118955112e-5,1.8e-5,1.9438684004483594e-4,0.002117183068239045
4,2.4632942581985565e-5,0.004258291667668975,9.256488383346346e-5,1.8e-5,1.8987565423152585e-4,0.002121450153207409
5,2.2710869890240638e-5,0.0042569355334241355,7.650889760184237e-5,1.8e-5,2.0175003834434931e-4,0.0020715339672907392
6,2.2859056855884515e-5,0.004257021820417152,7.857333913799714e-5,1.8e-5,1.9997555556055957e-4,0.0020752966126046874
7,2.540923907871526e-5,0.004256233616849219,1.0470732178576924e-4,1.8e-5,1.824731069119714e-4,0.0021433652314195814
8,2.594688057936568e-5,0.004255995348483936,1.1150594510565292e-4,1.8e-5,1.767132467295621e-4,0.002161357554683182
9,2.6796908033537978e-5,0.004255754751861598,1.2390122979134458e-4,1.8e-5,1.718746275417675e-4,0.002181727667392416
10,2.9099053129875947e-5,0.004254950522629069,1.5124220668417745e-4,1.8e-5,1.592739076073736e-4,0.002240488060974157
11,2.8875065941785036e-5,0.0042549855379560705,1.5494046897152937e-4,1.8e-5,1.5791272248020404e-4,0.0022484491358658433
12,3.1132124760392636e-5,0.004254946429035636,2.0221421668191705e-4,1.8e-5,1.459220014717716e-4,0.0023058302562052086
13,3.196598352236166e-5,0.004255332012980868,2.051037254866202e-4,1.8e-5,1.4324951134853407e-4,0.002317338388819846
14,3.272398064678872e-5,0.004256329615227882,2.2283709432433532e-4,1.8e-5,1.423540356336861e-4,0.002326243201111588
15,3.498753445041906e-5,0.0042570038462193,2.7353917502853333e-4,1.8e-5,1.3087327355707464e-4,0.0023831538257983588
16,3.459044289102196e-5,0.004256338191177869,2.450081417365376e-4,1.8e-5,1.312233406047558e-4,0.00237326268807281
17,4.682624733311104e-5,0.004254650058196671,6.925616963511449e-4,1.8e-5,1.0189754500461928e-4,0.0025812305809384583
18,5.742765085554204e-5,0.004253819483789224,0.0011462421710214663,1.8e-5,7.807190201977817e-5,0.0027599452188664555
19,5.794841702279432e-5,0.004254036083917552,0.0012488174034064824,1.8e-5,7.947164260824294e-5,0.0027656125937630892
20,5.8002790727116113e-5,0.004254002087467801,0.0012555384279895631,1.8e-5,7.903648932735928e-5,0.0027783477944581273
21,5.830506699244747e-5,0.0042540005227556695,0.0012806849227232626,1.8e-5,7.793168003329108e-5,0.0028018920244529434
22,6.193751422472324e-5,0.004253975350086426,0.0015493317896489072,1.8e-5,7.344742239007038e-5,0.0028660434596202264
23,6.430011028247311e-5,0.004254070174984282,0.001702619724760697,1.8e-5,7.061073328084932e-5,0.0028921791750052125
24,6.41814517953288e-5,0.0042539097516807066,0.001686461519203316,1.8e-5,7.083383172779339e-5,0.0028797369410045277
25,6.600048786155041e-5,0.004253068806722074,0.0018567869003351717,1.8e-5,6.900681542064744e-5,0.0029192441171455546
26,6.458175995083471e-5,0.004252913650789921,0.00175357079212521,1.8e-5,7.038707139616173e-5,0.002907021615642564
27,6.850053044271334e-5,0.004253100614623621,0.002092108402034621,1.8e-5,6.659749017028052e-5,0.002952903880536372
28,6.980337402455676e-5,0.004252809563406602,0.002202851940742923,1.8e-5,6.496143616309298e-5,0.002970182785102901
29,6.50251591891231e-5,0.004251925508372424,0.001804014426020855,1.8e-5,6.893683491206767e-5,0.002918090723658387
30,6.96829911331097e-5,0.0042510989134456065,0.0022154015199557517,1.8e-5,6.426332953143134e-5,0.0029865703353411125
31,6.589413001413034e-5,0.00425088413175144,0.0019104218928963426,1.8e-5,6.82534547098868e-5,0.002944734250310717
32,6.195685279378938e-5,0.004251277885637152,0.001573023125730875,1.8e-5,7.171862277066691e-5,0.002904921091500447
33,5.768430079165066e-5,0.004252391353046005,0.001330297159529152,1.8e-5,7.886152972488583e-5,0.002839301313265614
34,4.6e-5,0.004254,6.44e-4,1.8e-5,9.900000000000001e-5,0.00264
35,4.1324460309613586e-5,0.004254919051802158,4.42022332461843e-4,1.8e-5,1.1036619827280885e-4,0.0025359344677608757
36,4.0424647708454875e-5,0.0042549691103353675,4.1558424386435464e-4,1.8e-5,1.152925214522281e-4,0.002492415903459281
37,3.952603988641903e-5,0.0042552479292717795,3.8614696961247687e-4,1.8e-5,1.1813467617305334e-4,0.002467784957660812
38,3.90294976788424e-5,0.004256192326566371,3.807121467648795e-4,1.8e-5,1.1894087007856276e-4,0.002457909937479959
39,3.826532758420484e-5,0.0042569675971125326,3.426130489015663e-4,1.8e-5,1.229799663623326e-4,0.0024304181211210235
40,3.273154913575683e-5,0.004257062186632259,2.2706688095105066e-4,1.8e-5,1.4322221681891214e-4,0.0023285943555875735
41,2.9680754920509945e-5,0.004256906135319829,1.6055124918161484e-4,1.8e-5,1.574637592861991e-4,0.0022575239417300347
42,2.794396407026122e-5,0.004257212426637549,1.3298553044009537e-4,1.8e-5,1.7077315745647861e-4,0.002197114410146633
43,2.475306531571336e-5,0.004258114356836043,9.404783384577067e-5,1.8e-5,1.896199282444113e-4,0.002117525203923426
44,2.4040355841371648e-5,0.004258931969332472,8.551955574091513e-5,1.8e-5,1.9719641598099774e-4,0.0020914103712346985
45,2.3424617343174317e-5,0.0042590537682368505,7.787073802348962e-5,1.8e-5,2.039542972730582e-4,0.0020688163607806426
46,2.2421869978664867e-5,0.004258977010415781,6.689834954457813e-5,1.8e-5,2.142926233365266e-4,0.002034318613435441
47,2.1982157377994423e-5,0.004259009799184064,6.106908301948959e-5,1.8e-5,2.2091373790006434e-4,0.0020109654701615056
