frame,anger,disgust,fear,happiness,sadness,surprise
1,2.1e-5,0.004261,4.6e-5,1.7e-5,2.54e-4,0.0018579999999999998
2,1.9996972648909283e-5,0.004260990586989506,4.4996973184110454e-5,1.800302734393574e-5,2.4395085611896475e-4,0.0019153338799958628
3,2.0001593852041835e-5,0.004259989168113973,4.5001590568703205e-5,1.7998406191852346e-5,2.419945468203409e-4,0.001934198763796237
4,1.9999370661521478e-5,0.00426000424422868,4.499938902165777e-5,1.8000629093026194e-5,2.4200067367038166e-4,0.001941153013642953
5,2.000022129146771e-5,0.004259998673130713,4.5000128685118676e-5,1.799977994656472e-5,2.4200723294825422e-4,0.0019417315300422498
6,1.999992497269288e-5,0.004259999668605859,4.500036302820299e-5,1.8000069171046387e-5,2.4196215889304838e-4,0.0019339816287399906
7,2.0000033884749825e-5,0.004260003588875969,4.499804588317919e-5,1.7999992692374023e-5,2.4098074941787632e-4,0.0019402532542009462
8,1.9999944628026455e-5,0.004259983536434127,4.5008710161938384e-5,1.799993818761928e-5,2.4094268669578426e-4,0.0019412636565741264
9,2.000021076236002e-5,0.004260071783341477,4.4961847401028104e-5,1.80002950540364e-5,2.4003014824581001e-4,0.0019535507262549846
10,1.999911339317278e-5,0.004260990383912398,4.3865259213540715e-5,1.7998738764860863e-5,2.4097886155325607e-4,0.0019759228564063757
11,2.0003713594981596e-5,0.004261236175339216,4.1708702521214746e-5,1.8005288649675113e-5,2.400045010775154e-4,0.0020255886743429665
12,1.998460072332287e-5,0.004266844194117772,3.737650076485772e-5,1.7978067688490924e-5,2.4106702538121268e-4,0.002176896983202225
13,2.0065075937467003e-5,0.004311603418800648,2.9952151847089302e-5,1.8091928903779078e-5,2.3679077641055682e-4,0.0025175259997745536
14,2.1180667971892744e-5,0.00447707248573559,2.2337344690132685e-5,1.9066594370622256e-5,2.2193523252231684e-4,0.0031211322828768057
15,2.498310948528621e-5,0.0049548173998122235,1.819117955600501e-5,2.0469943666592906e-5,1.890729976851089e-4,0.004023594346699006
16,4.207894189025206e-5,0.006577341247651815,1.257994198323954e-5,2.7420792481788212e-5,1.1364784666294798e-4,0.007083702835117136
17,8.765230412250415e-5,0.009942026402065417,1.1664173989439322e-5,4.057320720583076e-5,5.4864348071327297e-5,0.013523433491196914
18,1.8235391330752263e-4,0.015417492412598054,8.690132764822022e-6,6.098717484290306e-5,2.677302058404091e-5,0.02651032986357076
19,3.113134426129057e-4,0.02224991845611253,7.682103706364351e-6,8.17659649220426e-5,1.5851265491369284e-5,0.042888689709335834
