frame,anger,disgust,fear,happiness,sadness,surprise
1,5.999999999999999e-6,0.004257,7.900000000000001e-5,1.8e-5,0.002238,0.003798
2,4.757166260578846e-6,0.004250676763508636,9.836805385434182e-5,1.7999876743206154e-5,0.0048312448060377445,0.004804467405843697
3,2.6846855957367063e-6,0.004242945135206194,1.2421231887731112e-4,1.8000844863641602e-5,0.011840009286144195,0.00636329358694765
4,1.5998105706015138e-6,0.00422141943584453,1.6504969728365802e-4,1.7995278197053823e-5,0.03924110549478438,0.009049978273378072
5,9.130480905034332e-7,0.004208736878199622,2.0443354192904581e-4,1.8022169636612643e-5,0.0855315704131247,0.011802412635734538
6,1.019098156662063e-6,0.004230856490693264,2.1410137319806201e-4,1.790964779422505e-5,0.10830289171459793,0.012884932804118402
7,9.968075690716645e-7,0.004267420685281207,2.0864775595615153e-4,1.831506489059828e-5,0.12201422637619389,0.014276295060805605
8,9.994245237316425e-7,0.004339903890191926,1.751165881318566e-4,1.7153388060813074e-5,0.11973997910098098,0.01647364814242153
9,1.0009907461484657e-6,0.005086842309956482,1.0467105306253714e-4,2.1529725051446874e-5,0.08768860554388766,0.02827924815198217
10,1.0143304568692863e-6,0.007571562429599746,6.211546263383761e-5,3.7937504224774306e-5,0.04224021519524413,0.06805553821844999
11,2.6129087991190736e-6,0.01398092613346194,3.394451951878424e-5,0,0.012071718793560945,0.1985493170672496
12,5.334807108312609e-6,0.019931388176675845,2.663160653944248e-5,5.684435176488442e-4,0.005832530934568165,0.3426196401834013
13,4.615167910898107e-6,0.022685783856431236,1.8225110301196287e-5,0,0.003832140704010145,0.5194543179496645
14,2.9629029052021744e-6,0.022468118370530046,1.3976636182127648e-5,0.010284062438386747,0.0023202980532019838,0.6818085728955621
15,4.2811740463935657e-7,0.011161988876661715,7.221766704856995e-6,0,7.369548964034091e-4,0.8015344722026538
16,0,9.82949769211012e-4,4.971463750771724e-7,0.37957276821369956,2.77222594692448e-5,0.8720210525190334
17,4.5966792039604606e-9,4.577222134762368e-5,0,0.9685171108201512,6.238585873165734e-7,0.9190502365178157
18,1.0098253359145131e-9,3.715219141745826e-5,3.7008649237319634e-8,0.9903739131039179,0,0.9575049861293788
19,0,4.381057833359593e-5,1.0492079575607432e-6,0.9965189898741696,7.957377408230897e-8,0.9635056253267067
20,2.1901231381633763e-10,3.728464263991476e-5,1.242864345536759e-6,0.9937178076009757,0,0.9703035142230872
21,0,3.8289357222370295e-5,2.114882234144922e-6,0.9949926884881695,7.460442106334328e-9,0.967409417396769
22,1.4249321751959485e-11,3.7931429998509753e-5,1.972940068538115e-6,0.9946356739864597,0,0.9669922027947344
23,0,3.8014035313854934e-5,2.0049166577973763e-6,0.9949685224921582,3.618552963256686e-10,0.9648750440261638
24,4.858795496424784e-13,3.7997661870366676e-5,2.001133891298918e-6,0.9947794171434835,0,0.9690530327964612
25,0,3.800024485451524e-5,1.9958910007982085e-6,0.9956948914976333,6.219862527811265e-12,0.9631349146203501
26,0,3.800001827185948e-5,1.9935328096674166e-6,0.9959472333015184,3.2767991040621586e-13,0.9601379022238893
27,4.047233630342831e-15,3.7999980524068386e-5,2.1415145493322198e-6,0.9963820106859971,2.5557644778719967e-12,0.9543831829516414
28,0,3.800000724792732e-5,2.9183039755115653e-6,0.9968727741242506,0,0.9460705950695527
29,4.3192863814141905e-16,3.799999792149073e-5,1.4955732752457796e-6,0.9972329714682159,1.1609502107819724e-10,0.932229034807156
30,0,3.800000050998861e-5,9.00700982324819e-7,0.9979711958492831,0,0.8896375270890552
31,2.2561137674389162e-17,3.799999989143222e-5,1.1482896451798654e-6,0.9981147868090545,2.068133426020905e-9,0.8743204716041908
32,0,3.800000001925245e-5,1.1644257275961217e-7,0.9984540447530107,0,0.8299661262979966
33,4.97900413245219e-19,3.7999999997604024e-5,8.680546217001723e-7,0.9985258287669119,1.6466435138228e-8,0.8281733862676094
34,0,3.8e-5,1e-6,0.998708,0,0.8021240000000001
35,0,3.800000000011777e-5,0,0.9988785947306742,1.062001951609651e-6,0.7561550522099063
36,1.0204594550761569e-20,3.7999999999950895e-5,2.3331565944214232e-8,0.9989524995134139,9.706152119664744e-7,0.7310651088468774
37,0,3.8000000000014795e-5,0,0.9990450734734633,1.028726048765446e-6,0.6881011714836297
38,7.814307567180128e-22,3.799999999999624e-5,1.7866465091298345e-9,0.9990621367003577,8.99403265663333e-7,0.6770414244543944
39,0,3.8000000000000836e-5,0,0.9990932050252345,1.6250290790101132e-6,0.6645902979424566
40,3.229608451225279e-23,3.7999999999999846e-5,7.384107440903188e-11,0.9991011818560032,2.058727285333985e-6,0.6385881309068784
41,0,3.800000000000002e-5,0,0.9991365042916167,1.9917126390039753e-6,0.630068463116102
42,2.13144192283997e-25,3.8e-5,4.873283060151861e-13,0.9991375379140403,2.0004108745751394e-6,0.6189108245980277
43,1.38473131394612e-25,3.8000000000000016e-5,3.166019928594725e-13,0.9991697521418764,2.0005647152789046e-6,0.5930891765429126
44,0,3.799999999999984e-5,0,0.9991559943917347,1.9968881248811307e-6,0.5844452117647602
45,2.1650382354706115e-26,3.8000000000000985e-5,4.9500826031376936e-14,0.9991793876574656,2.0179782721200177e-6,0.5566629512158701
46,0,3.799999999999522e-5,0,0.9991943505978838,1.9123484641651324e-6,0.5385216200969134
47,1.3087853904425193e-27,3.80000000000202e-5,2.989421003549464e-15,0.9992047117514453,2.5606993538130267e-6,0.5361796302408596
48,0,3.799999999992643e-5,0,0.9992154161955759,3.1697747029087825e-6,0.5376043363856631
49,5.343164404208987e-29,3.800000000021543e-5,9.061657502295631e-17,0.9992162392587155,2.1370329720379037e-6,0.5251581926330413
50,0,3.7999999999660796e-5,0,0.9992286599234709,1.9895375103213635e-6,0.5188122779531744
51,0,3.799999999845596e-5,0,0.9992280007273816,1.9977055098109992e-6,0.5068382235955289
52,1.2388050437363625e-27,3.800000001933454e-5,1.009691248860305e-18,0.999229737555284,2.0014076765209718e-6,0.5073117435741832
53,0,3.7999999874887754e-5,0,0.9992248943538016,1.9998395162230645e-6,0.4975634413859634
54,4.085338035618875e-26,3.800000063784213e-5,9.4664774721634e-20,0.9992243891722606,1.9984134255017638e-6,0.49535396336747783
55,0,3.7999997213136536e-5,0,0.9992285726309249,2.007497668487552e-6,0.48899531499359117
56,6.764768254152393e-25,3.8000010561815205e-5,4.6103312114099266e-21,0.9992337339416156,1.971468617908306e-6,0.4816813362406757
57,0,3.79999668761322e-5,0,0.999230587598915,2.0894995739505536e-6,0.4762366885948433
58,4.32667346358785e-24,3.800006755224124e-5,1.9943459430984966e-22,0.999222376977411,1.0661591812218164e-6,0.47705283054445746
59,6.659814205941062e-24,3.80001039795075e-5,1.8965598749048762e-22,0.9992220424838582,1.0048809554742257e-6,0.44733085007795154
60,0,3.799778301621319e-5,0,0.9992246645602988,9.947973452694941e-7,0.42588947763394885
61,1.0091099373071746e-21,3.8015755207435224e-5,2.783372105505055e-20,0.9992298014142514,1.001936553243496e-6,0.41098429040591045
62,0,3.7915792259801646e-5,0,0.9992291876672178,9.994425345763844e-7,0.39982783807966743
63,2.4416258312157456e-20,3.851792187883987e-5,6.734029377809174e-19,0.9992211510877794,1.000146347632478e-6,0.3863415228161749
